datetime,deployid
2018-09-05 11:59:53.300,bw180905-53
2018-09-05 12:01:54.500,bw180905-53
2018-09-05 12:03:58.200,bw180905-53
2018-09-05 12:05:58.800,bw180905-53
2018-09-05 12:14:39.700,bw180905-53
2018-09-05 12:16:41.600,bw180905-53
2018-09-05 12:18:48.900,bw180905-53
2018-09-05 12:20:57.400,bw180905-53
2018-09-05 12:23:08.500,bw180905-53
2018-09-05 12:31:42.500,bw180905-53
2018-09-05 12:33:53.000,bw180905-53
2018-09-05 12:35:48.500,bw180905-53
2018-09-05 12:37:53.100,bw180905-53
2018-09-05 12:39:58.800,bw180905-53
2018-09-05 12:48:13.700,bw180905-53
2018-09-05 12:50:18.300,bw180905-53
2018-09-05 12:52:24.500,bw180905-53
2018-09-05 12:54:35.100,bw180905-53
2018-09-05 12:56:45.200,bw180905-53
2018-09-05 13:04:13.900,bw180905-53
2018-09-05 13:06:23.400,bw180905-53
2018-09-05 13:08:19.700,bw180905-53
2018-09-05 13:10:26.900,bw180905-53
2018-09-05 13:20:29.700,bw180905-53
2018-09-05 13:22:35.800,bw180905-53
2018-09-05 13:24:45.000,bw180905-53
2018-09-05 09:18:28.000,bw180905-49
2018-09-05 09:20:10.300,bw180905-49
2018-09-05 09:21:40.200,bw180905-49
2018-09-05 09:23:12.800,bw180905-49
2018-09-05 09:24:49.900,bw180905-49
2018-09-05 09:31:44.400,bw180905-49
2018-09-05 09:33:09.700,bw180905-49
2018-09-05 09:34:56.700,bw180905-49
2018-09-05 09:36:31.100,bw180905-49
2018-09-05 09:38:07.500,bw180905-49
2018-09-05 09:39:38.100,bw180905-49
2018-09-05 09:41:27.400,bw180905-49
2018-09-05 09:49:13.000,bw180905-49
2018-09-05 09:50:37.900,bw180905-49
2018-09-05 09:52:12.500,bw180905-49
2018-09-05 09:53:57.600,bw180905-49
2018-09-05 09:55:30.000,bw180905-49
2018-09-05 09:57:05.300,bw180905-49
2018-09-05 10:05:46.600,bw180905-49
2018-09-05 10:07:28.600,bw180905-49
2018-09-05 10:08:51.100,bw180905-49
2018-09-05 10:10:27.700,bw180905-49
2018-09-05 10:12:05.200,bw180905-49
2018-09-05 10:13:58.200,bw180905-49
2018-09-05 10:21:46.400,bw180905-49
2018-09-05 10:23:14.000,bw180905-49
2018-09-05 10:24:51.600,bw180905-49
2018-09-05 10:26:28.700,bw180905-49
2018-09-05 10:28:06.600,bw180905-49
2018-09-05 10:29:39.600,bw180905-49
2018-09-05 10:31:19.000,bw180905-49
2018-09-05 10:32:55.800,bw180905-49
2018-09-05 10:41:04.500,bw180905-49
2018-09-05 10:42:37.600,bw180905-49
